AsActive(cross1_fps) X,AsActive(cross1_fps) Y,BActive(cross1_fps) X,BActive(cross1_fps) Y
-0.16853211,1.3488573e+19,-0.16853211,1.2244548e+16
-0.16567574,1.3479165e+19,-0.16567574,1.1500795e+16
-0.16240662,1.3474963e+19,-0.16240662,1.0314166e+16
-0.16240662,0,-0.16240662,0
-0.16240662,5.1371624e+17,-0.16240662,1.7195572e+17
-0.15996297,4.6162303e+13,-0.15996297,1.0073494e+19
-0.15710656,1.2415535e+10,-0.15710656,1.0168233e+19
-0.15425015,1.000003e+10,-0.15425015,9.9608753e+18
-0.14853733,1e+10,-0.14853733,9.539098e+18
-0.14282451,1e+10,-0.14282451,9.163448e+18
-0.13711169,1e+10,-0.13711169,8.8385397e+18
-0.12568605,1e+10,-0.12568605,8.2646516e+18
-0.11426041,1e+10,-0.11426041,7.7419328e+18
-0.10283477,1e+10,-0.10283477,7.2785247e+18
-0.091409124,1e+10,-0.091409124,6.8615627e+18
-0.068557842,1e+10,-0.068557842,6.066161e+18
-0.04570656,1e+10,-0.04570656,5.3761546e+18
-0.022855277,1e+10,-0.022855277,4.8392412e+18
-0.011429636,1e+10,-0.011429636,4.6010538e+18
-0.0057168158,1e+10,-0.0057168158,4.4893417e+18
-0.0028604055,1e+10,-0.0028604055,4.4416677e+18
-3.9952289e-06,1e+10,-3.9952289e-06,4.3941506e+18
0.00098321169,1e+10,0.00098321169,4.3776969e+18
0.002024484,1e+10,0.002024484,4.3601871e+18
0.0031227834,1e+10,0.0031227834,4.341403e+18
0.0042812317,1e+10,0.0042812317,4.3212857e+18
0.0055031229,1e+10,0.0055031229,4.2999285e+18
0.0067919331,1e+10,0.0067919331,4.277382e+18
0.0081513264,1e+10,0.0081513264,4.2535998e+18
0.0095851688,1e+10,0.0095851688,4.2285251e+18
0.01109754,1e+10,0.01109754,4.2021914e+18
0.012692734,1e+10,0.012692734,4.1748544e+18
0.014375289,1e+10,0.014375289,4.1469255e+18
0.016149996,1e+10,0.016149996,4.1183162e+18
0.018021894,1e+10,0.018021894,4.0882079e+18
0.019996303,1e+10,0.019996303,4.0564782e+18
0.021980663,1e+10,0.021980663,4.0250443e+18
0.024189776,1e+10,0.024189776,3.9917454e+18
0.026649112,1e+10,0.026649112,3.956761e+18
0.029386993,1e+10,0.029386993,3.918322e+18
0.032434969,1e+10,0.032434969,3.8748805e+18
0.035828179,1e+10,0.035828179,3.8233554e+18
0.039605715,1e+10,0.039605715,3.7646963e+18
0.043811108,1e+10,0.043811108,3.7031614e+18
0.048492818,1e+10,0.048492818,3.6424128e+18
0.053704796,1e+10,0.053704796,3.5777814e+18
0.059507102,1e+10,0.059507102,3.5031597e+18
0.065966599,1e+10,0.065966599,3.4219685e+18
0.073157726,1e+10,0.073157726,3.3373419e+18
0.081163335,1e+10,0.081163335,3.251849e+18
0.090075688,1e+10,0.090075688,3.1537251e+18
0.099997496,1e+10,0.099997496,3.0507725e+18
0.10988814,1e+10,0.10988814,2.9535419e+18
0.11998259,1e+10,0.11998259,2.853302e+18
0.13028485,1e+10,0.13028485,2.7646978e+18
0.1407994,1e+10,0.1407994,2.679343e+18
0.15153046,1e+10,0.15153046,2.5932702e+18
0.16248253,1e+10,0.16248253,2.5138167e+18
0.17366009,1e+10,0.17366009,2.4314787e+18
0.18506796,1e+10,0.18506796,2.3513647e+18
0.19671074,1e+10,0.19671074,2.2665269e+18
0.20859332,1e+10,0.20859332,2.1829758e+18
0.2207207,1e+10,0.2207207,2.1236992e+18
0.23309778,1e+10,0.23309778,2.0632011e+18
0.23941378,1e+10,0.23941378,2.0712157e+18
0.24572977,1e+10,0.24572977,2.2659596e+18
0.25217587,1e+10,0.25217587,2.3786865e+18
0.25862196,1e+10,0.25862196,1.6368058e+18
0.26191139,1e+10,0.26191139,1.4894497e+18
0.26520081,1e+10,0.26520081,1.4977102e+18
0.26684552,9.9987061e+09,0.26684552,2.2885315e+18
0.26788917,3.8603566e+08,0.26788917,5.6542784e+18
0.26788917,0,0.26788917,0
0.26788917,1.1657691e+10,0.26788917,2.9661358e+17
0.26849022,1.1642294e+10,0.26849022,3.619924e+17
0.27013491,1.1492196e+10,0.27013491,4.5226877e+17
0.2717796,1.125199e+10,0.2717796,5.0072868e+17
0.27513673,1.0769569e+10,0.27513673,5.4866419e+17
0.27849385,1.0536955e+10,0.27849385,5.7569711e+17
0.2852081,1.0321853e+10,0.2852081,6.076867e+17
0.29206065,1.0185554e+10,0.29206065,6.3550048e+17
0.2989132,1.0116854e+10,0.2989132,6.6519602e+17
0.3129005,1.0093105e+10,0.3129005,7.3686283e+17
0.327176,1.0092779e+10,0.327176,8.2140562e+17
0.3417454,1.0093854e+10,0.3417454,9.1284729e+17
0.3566149,1.0094237e+10,0.3566149,1.0057577e+18
0.3717907,1.009411e+10,0.3717907,1.0961217e+18
0.387279,1.0093786e+10,0.387279,1.1814528e+18
0.4030863,1.0093599e+10,0.4030863,1.2605162e+18
0.4192192,1.0093916e+10,0.4192192,1.3329019e+18
0.4356843,1.0093745e+10,0.4356843,1.3986273e+18
0.4524886,1.0093444e+10,0.4524886,1.4578549e+18
0.469639,1.0093175e+10,0.469639,1.5107307e+18
0.4871426,1.0092955e+10,0.4871426,1.5573238e+18
0.5050067,1.0092772e+10,0.5050067,1.5976218e+18
0.5232387,1.0092617e+10,0.5232387,1.6315529e+18
0.5418462,1.0092484e+10,0.5418462,1.6590135e+18
0.560837,1.0092371e+10,0.560837,1.6798928e+18
0.5802189,1.0092274e+10,0.5802189,1.6940888e+18
0.6,1.0092194e+10,0.6,1.7015215e+18
0.6202349,1.0092128e+10,0.6202349,1.7021327e+18
0.6422276,1.0092076e+10,0.6422276,1.695235e+18
0.6661307,1.009204e+10,0.6661307,1.6794037e+18
0.6921102,1.0092025e+10,0.6921102,1.6531331e+18
0.7203465,1.0092039e+10,0.7203465,1.6148902e+18
0.7510355,1.009209e+10,0.7510355,1.5631967e+18
0.7843905,1.0092188e+10,0.7843905,1.4967456e+18
0.8206428,1.0092284e+10,0.8206428,1.4145649e+18
0.8600443,1.0091328e+10,0.8600443,1.3162251e+18
0.9028685,1.0091333e+10,0.9028685,1.2020962e+18
0.9494127,1.0091453e+10,0.9494127,1.0736278e+18
1,1.0091657e+10,1,9.3361243e+17
1.049227,1.0091926e+10,1.049227,8.0151251e+17
1.101048,1.0092275e+10,1.101048,6.706988e+17
1.155599,1.0092659e+10,1.155599,5.4541799e+17
1.213024,1.0091832e+10,1.213024,4.2968412e+17
1.273474,1.0092081e+10,1.273474,3.268667e+17
1.337109,1.0092368e+10,1.337109,2.3930962e+17
1.404097,1.0092642e+10,1.404097,1.6808265e+17
1.474614,1.0092886e+10,1.474614,1.1292659e+17
1.548846,1.0093065e+10,1.548846,7.2414993e+16
1.62699,1.0090405e+10,1.62699,4.4295917e+16
1.70925,1.0090468e+10,1.70925,2.5923045e+16
1.795844,1.0090525e+10,1.795844,1.4666811e+16
1.887,1.009056e+10,1.887,8.2274747e+15
1.982959,1.009058e+10,1.982959,4.8023911e+15
2.083974,1.009059e+10,2.083974,3.115848e+15
2.19031,1.0090595e+10,2.19031,2.3503647e+15
