Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
30	 950.0 mV	 0 V	 1.0000 V	 0 V	 3.24084 nA	 36.85640000 nS
31	 1.0000 V	 0 V	 1.0000 V	 0 V	 5.8776 nA	 95.27760000 nS
32	 1.0500 V	 0 V	 1.0000 V	 0 V	 12.7686 nA	 238.3600000 nS
33	 1.1000 V	 0 V	 1.0000 V	 0 V	 29.7136 nA	 554.9940000 nS
34	 1.1500 V	 0 V	 1.0000 V	 0 V	 68.268 nA	 1.216954000 uS
35	 1.2000 V	 0 V	 1.0000 V	 0 V	 151.409 nA	 2.344660000 uS
36	 1.2500 V	 0 V	 1.0000 V	 0 V	 302.734 nA	 4.223510000 uS
37	 1.3000 V	 0 V	 1.0000 V	 0 V	 573.76 nA	 7.052960000 uS
38	 1.3500 V	 0 V	 1.0000 V	 0 V	 1.00803 uA	 10.93680000 uS
39	 1.4000 V	 0 V	 1.0000 V	 0 V	 1.66744 uA	 15.77420000 uS
40	 1.4500 V	 0 V	 1.0000 V	 0 V	 2.58545 uA	 21.26960000 uS
41	 1.5000 V	 0 V	 1.0000 V	 0 V	 3.79440 uA	 27.82160000 uS
42	 1.5500 V	 0 V	 1.0000 V	 0 V	 5.36761 uA	 35.11290000 uS
43	 1.6000 V	 0 V	 1.0000 V	 0 V	 7.30569 uA	 42.71690000 uS
44	 1.6500 V	 0 V	 1.0000 V	 0 V	 9.6393 uA	 49.33610000 uS
45	 1.7000 V	 0 V	 1.0000 V	 0 V	 12.2393 uA	 56.43700000 uS
46	 1.7500 V	 0 V	 1.0000 V	 0 V	 15.2830 uA	 64.97800000 uS
47	 1.8000 V	 0 V	 1.0000 V	 0 V	 18.7371 uA	 72.33200000 uS
48	 1.8500 V	 0 V	 1.0000 V	 0 V	 22.5162 uA	 79.17300000 uS
49	 1.9000 V	 0 V	 1.0000 V	 0 V	 26.6544 uA	 87.08300000 uS
50	 1.9500 V	 0 V	 1.0000 V	 0 V	 31.2245 uA	 94.21300000 uS
51	 2.0000 V	 0 V	 1.0000 V	 0 V	 36.0757 uA	 100.4400000 uS
52	 2.0500 V	 0 V	 1.0000 V	 0 V	 41.2685 uA	 108.3910000 uS
53	 2.1000 V	 0 V	 1.0000 V	 0 V	 46.9148 uA	 115.6540000 uS
54	 2.1500 V	 0 V	 1.0000 V	 0 V	 52.8339 uA	 121.0310000 uS
55	 2.2000 V	 0 V	 1.0000 V	 0 V	 59.0179 uA	 127.0320000 uS
56	 2.2500 V	 0 V	 1.0000 V	 0 V	 65.5371 uA	 134.3220000 uS
57	 2.3000 V	 0 V	 1.0000 V	 0 V	 72.4501 uA	 139.4140000 uS
58	 2.3500 V	 0 V	 1.0000 V	 0 V	 79.4785 uA	 143.5340000 uS
59	 2.4000 V	 0 V	 1.0000 V	 0 V	 86.8035 uA	 150.7180000 uS
60	 2.4500 V	 0 V	 1.0000 V	 0 V	 94.5503 uA	 155.1450000 uS
61	 2.5000 V	 0 V	 1.0000 V	 0 V	 102.318 uA	 160.3370000 uS
62	 2.5500 V	 0 V	 1.0000 V	 0 V	 110.584 uA	 166.2200000 uS
63	 2.6000 V	 0 V	 1.0000 V	 0 V	 118.940 uA	 168.3300000 uS
64	 2.6500 V	 0 V	 1.0000 V	 0 V	 127.417 uA	 172.4500000 uS
65	 2.7000 V	 0 V	 1.0000 V	 0 V	 136.185 uA	 177.6100000 uS
66	 2.7500 V	 0 V	 1.0000 V	 0 V	 145.178 uA	 179.9300000 uS
67	 2.8000 V	 0 V	 1.0000 V	 0 V	 154.178 uA	 181.4300000 uS
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 163.321 uA	 187.9800000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 172.976 uA	 191.1300000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 182.434 uA	 189.8600000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 191.962 uA	 192.9700000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 201.731 uA	 196.0700000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 211.569 uA	 197.7900000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 221.510 uA	 198.7900000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 231.448 uA	 197.2600000 uS
76	 3.2500 V	 0 V	 1.0000 V	 0 V	 241.236 uA	 196.5300000 uS
77	 3.3000 V	 0 V	 1.0000 V	 0 V	 251.101 uA	 198.2900000 uS
78	 3.3500 V	 0 V	 1.0000 V	 0 V	 261.065 uA	 202.3300000 uS
79	 3.4000 V	 0 V	 1.0000 V	 0 V	 271.334 uA	 199.9800000 uS
80	 3.4500 V	 0 V	 1.0000 V	 0 V	 281.063 uA	 195.7700000 uS
81	 3.5000 V	 0 V	 1.0000 V	 0 V	 290.911 uA	 198.0200000 uS
82	 3.5500 V	 0 V	 1.0000 V	 0 V	 300.865 uA	 201.9200000 uS
83	 3.6000 V	 0 V	 1.0000 V	 0 V	 311.103 uA	 199.4800000 uS
84	 3.6500 V	 0 V	 1.0000 V	 0 V	 320.813 uA	 195.9000000 uS
85	 3.7000 V	 0 V	 1.0000 V	 0 V	 330.693 uA	 194.0200000 uS
86	 3.7500 V	 0 V	 1.0000 V	 0 V	 340.215 uA	 190.9100000 uS
87	 3.8000 V	 0 V	 1.0000 V	 0 V	 349.784 uA	 194.0600000 uS
88	 3.8500 V	 0 V	 1.0000 V	 0 V	 359.621 uA	 190.5400000 uS
89	 3.9000 V	 0 V	 1.0000 V	 0 V	 368.838 uA	 186.8400000 uS
90	 3.9500 V	 0 V	 1.0000 V	 0 V	 378.305 uA	 192.0500000 uS
91	 4.0000 V	 0 V	 1.0000 V	 0 V	 388.043 uA	 188.2200000 uS
92	 4.0500 V	 0 V	 1.0000 V	 0 V	 397.127 uA	 182.3600000 uS
93	 4.1000 V	 0 V	 1.0000 V	 0 V	 406.279 uA	 181.8300000 uS
94	 4.1500 V	 0 V	 1.0000 V	 0 V	 415.310 uA	 174.3600000 uS
95	 4.2000 V	 0 V	 1.0000 V	 0 V	 423.715 uA	 176.7900000 uS
96	 4.2500 V	 0 V	 1.0000 V	 0 V	 432.989 uA	 180.0600000 uS
97	 4.3000 V	 0 V	 1.0000 V	 0 V	 441.721 uA	 175.7000000 uS
98	 4.3500 V	 0 V	 1.0000 V	 0 V	 450.559 uA	 177.8200000 uS
99	 4.4000 V	 0 V	 1.0000 V	 0 V	 459.503 uA	 173.0500000 uS
100	 4.4500 V	 0 V	 1.0000 V	 0 V	 467.864 uA	 167.7100000 uS
101	 4.5000 V	 0 V	 1.0000 V	 0 V	 476.274 uA	 169.2500000 uS
102	 4.5500 V	 0 V	 1.0000 V	 0 V	 484.789 uA	 167.6400000 uS
103	 4.6000 V	 0 V	 1.0000 V	 0 V	 493.038 uA	 164.2200000 uS
104	 4.6500 V	 0 V	 1.0000 V	 0 V	 501.211 uA	 164.9700000 uS
105	 4.7000 V	 0 V	 1.0000 V	 0 V	 509.535 uA	 163.0200000 uS
106	 4.7500 V	 0 V	 1.0000 V	 0 V	 517.513 uA	 159.1700000 uS
107	 4.8000 V	 0 V	 1.0000 V	 0 V	 525.452 uA	 161.1700000 uS
108	 4.8500 V	 0 V	 1.0000 V	 0 V	 533.630 uA	 159.3500000 uS
109	 4.9000 V	 0 V	 1.0000 V	 0 V	 541.387 uA	 150.9400000 uS
110	 4.9500 V	 0 V	 1.0000 V	 0 V	 548.724 uA	 150.0900000 uS
111	 5.0000 V	 0 V	 1.0000 V	 0 V	 556.396 uA	 153.4400000 uS
