Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
56	 2.2500 V	 0 V	 1.0000 V	 0 V	 83.0389 uA	 170.9240000 uS
57	 2.3000 V	 0 V	 1.0000 V	 0 V	 91.9865 uA	 177.4710000 uS
58	 2.3500 V	 0 V	 1.0000 V	 0 V	 100.786 uA	 193.0450000 uS
59	 2.4000 V	 0 V	 1.0000 V	 0 V	 111.291 uA	 195.2500000 uS
60	 2.4500 V	 0 V	 1.0000 V	 0 V	 120.311 uA	 187.3200000 uS
61	 2.5000 V	 0 V	 1.0000 V	 0 V	 130.023 uA	 200.9600000 uS
62	 2.5500 V	 0 V	 1.0000 V	 0 V	 140.407 uA	 214.7800000 uS
63	 2.6000 V	 0 V	 1.0000 V	 0 V	 151.501 uA	 213.0200000 uS
64	 2.6500 V	 0 V	 1.0000 V	 0 V	 161.709 uA	 209.2300000 uS
65	 2.7000 V	 0 V	 1.0000 V	 0 V	 172.424 uA	 223.9700000 uS
66	 2.7500 V	 0 V	 1.0000 V	 0 V	 184.106 uA	 217.1700000 uS
67	 2.8000 V	 0 V	 1.0000 V	 0 V	 194.141 uA	 218.5200000 uS
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 205.958 uA	 232.0000000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 217.341 uA	 228.7600000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 228.834 uA	 230.0400000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 240.345 uA	 229.8500000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 251.819 uA	 236.3000000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 263.975 uA	 231.1500000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 274.934 uA	 236.6600000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 287.641 uA	 238.6200000 uS
76	 3.2500 V	 0 V	 1.0000 V	 0 V	 298.796 uA	 229.6100000 uS
77	 3.3000 V	 0 V	 1.0000 V	 0 V	 310.602 uA	 230.2900000 uS
78	 3.3500 V	 0 V	 1.0000 V	 0 V	 321.825 uA	 232.6000000 uS
79	 3.4000 V	 0 V	 1.0000 V	 0 V	 333.862 uA	 239.2000000 uS
80	 3.4500 V	 0 V	 1.0000 V	 0 V	 345.745 uA	 230.1700000 uS
81	 3.5000 V	 0 V	 1.0000 V	 0 V	 356.879 uA	 233.4900000 uS
82	 3.5500 V	 0 V	 1.0000 V	 0 V	 369.094 uA	 235.6400000 uS
83	 3.6000 V	 0 V	 1.0000 V	 0 V	 380.443 uA	 220.3900000 uS
84	 3.6500 V	 0 V	 1.0000 V	 0 V	 391.133 uA	 228.2600000 uS
85	 3.7000 V	 0 V	 1.0000 V	 0 V	 403.269 uA	 229.4400000 uS
86	 3.7500 V	 0 V	 1.0000 V	 0 V	 414.077 uA	 213.0200000 uS
87	 3.8000 V	 0 V	 1.0000 V	 0 V	 424.571 uA	 225.0000000 uS
88	 3.8500 V	 0 V	 1.0000 V	 0 V	 436.577 uA	 226.1400000 uS
89	 3.9000 V	 0 V	 1.0000 V	 0 V	 447.185 uA	 221.0200000 uS
90	 3.9500 V	 0 V	 1.0000 V	 0 V	 458.679 uA	 216.2400000 uS
91	 4.0000 V	 0 V	 1.0000 V	 0 V	 468.809 uA	 214.7700000 uS
92	 4.0500 V	 0 V	 1.0000 V	 0 V	 480.156 uA	 215.8400000 uS
93	 4.1000 V	 0 V	 1.0000 V	 0 V	 490.393 uA	 201.9600000 uS
94	 4.1500 V	 0 V	 1.0000 V	 0 V	 500.352 uA	 209.4600000 uS
95	 4.2000 V	 0 V	 1.0000 V	 0 V	 511.339 uA	 216.2000000 uS
96	 4.2500 V	 0 V	 1.0000 V	 0 V	 521.972 uA	 199.6100000 uS
97	 4.3000 V	 0 V	 1.0000 V	 0 V	 531.300 uA	 196.4700000 uS
98	 4.3500 V	 0 V	 1.0000 V	 0 V	 541.619 uA	 211.0400000 uS
99	 4.4000 V	 0 V	 1.0000 V	 0 V	 552.404 uA	 202.1500000 uS
100	 4.4500 V	 0 V	 1.0000 V	 0 V	 561.834 uA	 188.7300000 uS
101	 4.5000 V	 0 V	 1.0000 V	 0 V	 571.277 uA	 193.0900000 uS
102	 4.5500 V	 0 V	 1.0000 V	 0 V	 581.143 uA	 196.5400000 uS
103	 4.6000 V	 0 V	 1.0000 V	 0 V	 590.931 uA	 190.7600000 uS
104	 4.6500 V	 0 V	 1.0000 V	 0 V	 600.219 uA	 182.9600000 uS
105	 4.7000 V	 0 V	 1.0000 V	 0 V	 609.227 uA	 185.4700000 uS
106	 4.7500 V	 0 V	 1.0000 V	 0 V	 618.766 uA	 182.9500000 uS
107	 4.8000 V	 0 V	 1.0000 V	 0 V	 627.522 uA	 178.0200000 uS
108	 4.8500 V	 0 V	 1.0000 V	 0 V	 636.568 uA	 187.9200000 uS
109	 4.9000 V	 0 V	 1.0000 V	 0 V	 646.314 uA	 180.0600000 uS
110	 4.9500 V	 0 V	 1.0000 V	 0 V	 654.574 uA	 167.5300000 uS
111	 5.0000 V	 0 V	 1.0000 V	 0 V	 663.067 uA	 169.8600000 uS
