Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
354	 2.0000 V	 0 V	 1.7650 V	 0 V	 24.3520 uA	 2.435200000 uA/um
355	 2.0000 V	 0 V	 1.7700 V	 0 V	 22.7930 uA	 2.279300000 uA/um
356	 2.0000 V	 0 V	 1.7750 V	 0 V	 24.2580 uA	 2.425800000 uA/um
357	 2.0000 V	 0 V	 1.7800 V	 0 V	 25.5330 uA	 2.553300000 uA/um
358	 2.0000 V	 0 V	 1.7850 V	 0 V	 24.1590 uA	 2.415900000 uA/um
359	 2.0000 V	 0 V	 1.7900 V	 0 V	 22.8590 uA	 2.285900000 uA/um
360	 2.0000 V	 0 V	 1.7950 V	 0 V	 24.2510 uA	 2.425100000 uA/um
361	 2.0000 V	 0 V	 1.8000 V	 0 V	 24.8970 uA	 2.489700000 uA/um
362	 2.0000 V	 0 V	 1.8050 V	 0 V	 24.1070 uA	 2.410700000 uA/um
363	 2.0000 V	 0 V	 1.8100 V	 0 V	 24.1280 uA	 2.412800000 uA/um
364	 2.0000 V	 0 V	 1.8150 V	 0 V	 24.8880 uA	 2.488800000 uA/um
365	 2.0000 V	 0 V	 1.8200 V	 0 V	 24.3870 uA	 2.438700000 uA/um
366	 2.0000 V	 0 V	 1.8250 V	 0 V	 22.9400 uA	 2.294000000 uA/um
367	 2.0000 V	 0 V	 1.8300 V	 0 V	 24.7900 uA	 2.479000000 uA/um
368	 2.0000 V	 0 V	 1.8350 V	 0 V	 24.8090 uA	 2.480900000 uA/um
369	 2.0000 V	 0 V	 1.8400 V	 0 V	 23.9800 uA	 2.398000000 uA/um
370	 2.0000 V	 0 V	 1.8450 V	 0 V	 24.0650 uA	 2.406500000 uA/um
371	 2.0000 V	 0 V	 1.8500 V	 0 V	 24.9390 uA	 2.493900000 uA/um
372	 2.0000 V	 0 V	 1.8550 V	 0 V	 25.0780 uA	 2.507800000 uA/um
373	 2.0000 V	 0 V	 1.8600 V	 0 V	 24.2060 uA	 2.420600000 uA/um
374	 2.0000 V	 0 V	 1.8650 V	 0 V	 24.4620 uA	 2.446200000 uA/um
375	 2.0000 V	 0 V	 1.8700 V	 0 V	 25.0980 uA	 2.509800000 uA/um
376	 2.0000 V	 0 V	 1.8750 V	 0 V	 24.7110 uA	 2.471100000 uA/um
377	 2.0000 V	 0 V	 1.8800 V	 0 V	 24.1580 uA	 2.415800000 uA/um
378	 2.0000 V	 0 V	 1.8850 V	 0 V	 24.4410 uA	 2.444100000 uA/um
379	 2.0000 V	 0 V	 1.8900 V	 0 V	 25.1140 uA	 2.511400000 uA/um
380	 2.0000 V	 0 V	 1.8950 V	 0 V	 24.4420 uA	 2.444200000 uA/um
381	 2.0000 V	 0 V	 1.9000 V	 0 V	 24.7610 uA	 2.476100000 uA/um
382	 2.0000 V	 0 V	 1.9050 V	 0 V	 25.8010 uA	 2.580100000 uA/um
383	 2.0000 V	 0 V	 1.9100 V	 0 V	 24.8790 uA	 2.487900000 uA/um
384	 2.0000 V	 0 V	 1.9150 V	 0 V	 24.4330 uA	 2.443300000 uA/um
385	 2.0000 V	 0 V	 1.9200 V	 0 V	 24.9430 uA	 2.494300000 uA/um
386	 2.0000 V	 0 V	 1.9250 V	 0 V	 25.4760 uA	 2.547600000 uA/um
387	 2.0000 V	 0 V	 1.9300 V	 0 V	 25.3650 uA	 2.536500000 uA/um
388	 2.0000 V	 0 V	 1.9350 V	 0 V	 24.6410 uA	 2.464100000 uA/um
389	 2.0000 V	 0 V	 1.9400 V	 0 V	 24.6690 uA	 2.466900000 uA/um
390	 2.0000 V	 0 V	 1.9450 V	 0 V	 25.4780 uA	 2.547800000 uA/um
391	 2.0000 V	 0 V	 1.9500 V	 0 V	 25.3820 uA	 2.538200000 uA/um
392	 2.0000 V	 0 V	 1.9550 V	 0 V	 24.8270 uA	 2.482700000 uA/um
393	 2.0000 V	 0 V	 1.9600 V	 0 V	 25.1390 uA	 2.513900000 uA/um
394	 2.0000 V	 0 V	 1.9650 V	 0 V	 25.6410 uA	 2.564100000 uA/um
395	 2.0000 V	 0 V	 1.9700 V	 0 V	 25.5460 uA	 2.554600000 uA/um
396	 2.0000 V	 0 V	 1.9750 V	 0 V	 24.9220 uA	 2.492200000 uA/um
397	 2.0000 V	 0 V	 1.9800 V	 0 V	 25.1300 uA	 2.513000000 uA/um
398	 2.0000 V	 0 V	 1.9850 V	 0 V	 25.6680 uA	 2.566800000 uA/um
399	 2.0000 V	 0 V	 1.9900 V	 0 V	 25.6280 uA	 2.562800000 uA/um
400	 2.0000 V	 0 V	 1.9950 V	 0 V	 25.3100 uA	 2.531000000 uA/um
401	 2.0000 V	 0 V	 2.0000 V	 0 V	 25.0640 uA	 2.506400000 uA/um
402	 2.0000 V	 0 V	 2.0050 V	 0 V	 25.6230 uA	 2.562300000 uA/um
403	 2.0000 V	 0 V	 2.0100 V	 0 V	 26.4000 uA	 2.640000000 uA/um
404	 2.0000 V	 0 V	 2.0150 V	 0 V	 25.6230 uA	 2.562300000 uA/um
405	 2.0000 V	 0 V	 2.0200 V	 0 V	 24.5900 uA	 2.459000000 uA/um
406	 2.0000 V	 0 V	 2.0250 V	 0 V	 25.7020 uA	 2.570200000 uA/um
407	 2.0000 V	 0 V	 2.0300 V	 0 V	 26.1690 uA	 2.616900000 uA/um
408	 2.0000 V	 0 V	 2.0350 V	 0 V	 25.6700 uA	 2.567000000 uA/um
409	 2.0000 V	 0 V	 2.0400 V	 0 V	 25.6020 uA	 2.560200000 uA/um
410	 2.0000 V	 0 V	 2.0450 V	 0 V	 26.1230 uA	 2.612300000 uA/um
411	 2.0000 V	 0 V	 2.0500 V	 0 V	 25.7360 uA	 2.573600000 uA/um
412	 2.0000 V	 0 V	 2.0550 V	 0 V	 25.7160 uA	 2.571600000 uA/um
413	 2.0000 V	 0 V	 2.0600 V	 0 V	 26.1650 uA	 2.616500000 uA/um
414	 2.0000 V	 0 V	 2.0650 V	 0 V	 26.1430 uA	 2.614300000 uA/um
415	 2.0000 V	 0 V	 2.0700 V	 0 V	 25.6340 uA	 2.563400000 uA/um
416	 2.0000 V	 0 V	 2.0750 V	 0 V	 26.0970 uA	 2.609700000 uA/um
417	 2.0000 V	 0 V	 2.0800 V	 0 V	 26.3720 uA	 2.637200000 uA/um
418	 2.0000 V	 0 V	 2.0850 V	 0 V	 25.9810 uA	 2.598100000 uA/um
419	 2.0000 V	 0 V	 2.0900 V	 0 V	 25.7490 uA	 2.574900000 uA/um
420	 2.0000 V	 0 V	 2.0950 V	 0 V	 26.2310 uA	 2.623100000 uA/um
421	 2.0000 V	 0 V	 2.1000 V	 0 V	 26.9250 uA	 2.692500000 uA/um
422	 2.0000 V	 0 V	 2.1050 V	 0 V	 26.1000 uA	 2.610000000 uA/um
423	 2.0000 V	 0 V	 2.1100 V	 0 V	 26.0830 uA	 2.608300000 uA/um
424	 2.0000 V	 0 V	 2.1150 V	 0 V	 26.5500 uA	 2.655000000 uA/um
425	 2.0000 V	 0 V	 2.1200 V	 0 V	 26.6410 uA	 2.664100000 uA/um
426	 2.0000 V	 0 V	 2.1250 V	 0 V	 26.0530 uA	 2.605300000 uA/um
427	 2.0000 V	 0 V	 2.1300 V	 0 V	 26.4990 uA	 2.649900000 uA/um
428	 2.0000 V	 0 V	 2.1350 V	 0 V	 26.6210 uA	 2.662100000 uA/um
429	 2.0000 V	 0 V	 2.1400 V	 0 V	 26.2900 uA	 2.629000000 uA/um
430	 2.0000 V	 0 V	 2.1450 V	 0 V	 26.2950 uA	 2.629500000 uA/um
431	 2.0000 V	 0 V	 2.1500 V	 0 V	 26.8060 uA	 2.680600000 uA/um
432	 2.0000 V	 0 V	 2.1550 V	 0 V	 26.5630 uA	 2.656300000 uA/um
433	 2.0000 V	 0 V	 2.1600 V	 0 V	 26.4210 uA	 2.642100000 uA/um
434	 2.0000 V	 0 V	 2.1650 V	 0 V	 26.7670 uA	 2.676700000 uA/um
435	 2.0000 V	 0 V	 2.1700 V	 0 V	 26.9480 uA	 2.694800000 uA/um
436	 2.0000 V	 0 V	 2.1750 V	 0 V	 26.7490 uA	 2.674900000 uA/um
437	 2.0000 V	 0 V	 2.1800 V	 0 V	 26.2240 uA	 2.622400000 uA/um
438	 2.0000 V	 0 V	 2.1850 V	 0 V	 26.9380 uA	 2.693800000 uA/um
439	 2.0000 V	 0 V	 2.1900 V	 0 V	 26.9230 uA	 2.692300000 uA/um
440	 2.0000 V	 0 V	 2.1950 V	 0 V	 26.2270 uA	 2.622700000 uA/um
441	 2.0000 V	 0 V	 2.2000 V	 0 V	 27.1190 uA	 2.711900000 uA/um
442	 2.0000 V	 0 V	 2.2050 V	 0 V	 27.2010 uA	 2.720100000 uA/um
443	 2.0000 V	 0 V	 2.2100 V	 0 V	 26.9480 uA	 2.694800000 uA/um
444	 2.0000 V	 0 V	 2.2150 V	 0 V	 27.0880 uA	 2.708800000 uA/um
445	 2.0000 V	 0 V	 2.2200 V	 0 V	 27.3830 uA	 2.738300000 uA/um
446	 2.0000 V	 0 V	 2.2250 V	 0 V	 27.4860 uA	 2.748600000 uA/um
447	 2.0000 V	 0 V	 2.2300 V	 0 V	 27.1010 uA	 2.710100000 uA/um
448	 2.0000 V	 0 V	 2.2350 V	 0 V	 27.3520 uA	 2.735200000 uA/um
449	 2.0000 V	 0 V	 2.2400 V	 0 V	 27.9160 uA	 2.791600000 uA/um
450	 2.0000 V	 0 V	 2.2450 V	 0 V	 27.4230 uA	 2.742300000 uA/um
451	 2.0000 V	 0 V	 2.2500 V	 0 V	 27.2780 uA	 2.727800000 uA/um
452	 2.0000 V	 0 V	 2.2550 V	 0 V	 27.5580 uA	 2.755800000 uA/um
453	 2.0000 V	 0 V	 2.2600 V	 0 V	 27.7610 uA	 2.776100000 uA/um
454	 2.0000 V	 0 V	 2.2650 V	 0 V	 27.5850 uA	 2.758500000 uA/um
455	 2.0000 V	 0 V	 2.2700 V	 0 V	 27.6240 uA	 2.762400000 uA/um
456	 2.0000 V	 0 V	 2.2750 V	 0 V	 27.8810 uA	 2.788100000 uA/um
457	 2.0000 V	 0 V	 2.2800 V	 0 V	 27.9310 uA	 2.793100000 uA/um
458	 2.0000 V	 0 V	 2.2850 V	 0 V	 27.7040 uA	 2.770400000 uA/um
459	 2.0000 V	 0 V	 2.2900 V	 0 V	 27.8600 uA	 2.786000000 uA/um
460	 2.0000 V	 0 V	 2.2950 V	 0 V	 28.0750 uA	 2.807500000 uA/um
461	 2.0000 V	 0 V	 2.3000 V	 0 V	 28.0410 uA	 2.804100000 uA/um
462	 2.0000 V	 0 V	 2.3050 V	 0 V	 27.8890 uA	 2.788900000 uA/um
463	 2.0000 V	 0 V	 2.3100 V	 0 V	 28.0660 uA	 2.806600000 uA/um
464	 2.0000 V	 0 V	 2.3150 V	 0 V	 28.2130 uA	 2.821300000 uA/um
465	 2.0000 V	 0 V	 2.3200 V	 0 V	 28.0060 uA	 2.800600000 uA/um
466	 2.0000 V	 0 V	 2.3250 V	 0 V	 28.1210 uA	 2.812100000 uA/um
467	 2.0000 V	 0 V	 2.3300 V	 0 V	 28.4600 uA	 2.846000000 uA/um
468	 2.0000 V	 0 V	 2.3350 V	 0 V	 28.3700 uA	 2.837000000 uA/um
469	 2.0000 V	 0 V	 2.3400 V	 0 V	 28.3560 uA	 2.835600000 uA/um
470	 2.0000 V	 0 V	 2.3450 V	 0 V	 28.6330 uA	 2.863300000 uA/um
471	 2.0000 V	 0 V	 2.3500 V	 0 V	 28.6770 uA	 2.867700000 uA/um
472	 2.0000 V	 0 V	 2.3550 V	 0 V	 28.5010 uA	 2.850100000 uA/um
473	 2.0000 V	 0 V	 2.3600 V	 0 V	 28.7660 uA	 2.876600000 uA/um
474	 2.0000 V	 0 V	 2.3650 V	 0 V	 28.7130 uA	 2.871300000 uA/um
475	 2.0000 V	 0 V	 2.3700 V	 0 V	 28.6010 uA	 2.860100000 uA/um
476	 2.0000 V	 0 V	 2.3750 V	 0 V	 28.7260 uA	 2.872600000 uA/um
477	 2.0000 V	 0 V	 2.3800 V	 0 V	 28.9860 uA	 2.898600000 uA/um
478	 2.0000 V	 0 V	 2.3850 V	 0 V	 29.0200 uA	 2.902000000 uA/um
479	 2.0000 V	 0 V	 2.3900 V	 0 V	 28.8550 uA	 2.885500000 uA/um
480	 2.0000 V	 0 V	 2.3950 V	 0 V	 28.8600 uA	 2.886000000 uA/um
481	 2.0000 V	 0 V	 2.4000 V	 0 V	 29.1590 uA	 2.915900000 uA/um
482	 2.0000 V	 0 V	 2.4050 V	 0 V	 29.1070 uA	 2.910700000 uA/um
483	 2.0000 V	 0 V	 2.4100 V	 0 V	 29.0570 uA	 2.905700000 uA/um
484	 2.0000 V	 0 V	 2.4150 V	 0 V	 29.1470 uA	 2.914700000 uA/um
485	 2.0000 V	 0 V	 2.4200 V	 0 V	 29.4330 uA	 2.943300000 uA/um
486	 2.0000 V	 0 V	 2.4250 V	 0 V	 29.2470 uA	 2.924700000 uA/um
487	 2.0000 V	 0 V	 2.4300 V	 0 V	 29.2820 uA	 2.928200000 uA/um
488	 2.0000 V	 0 V	 2.4350 V	 0 V	 29.5880 uA	 2.958800000 uA/um
489	 2.0000 V	 0 V	 2.4400 V	 0 V	 29.5580 uA	 2.955800000 uA/um
490	 2.0000 V	 0 V	 2.4450 V	 0 V	 29.3740 uA	 2.937400000 uA/um
491	 2.0000 V	 0 V	 2.4500 V	 0 V	 29.6730 uA	 2.967300000 uA/um
492	 2.0000 V	 0 V	 2.4550 V	 0 V	 29.7620 uA	 2.976200000 uA/um
493	 2.0000 V	 0 V	 2.4600 V	 0 V	 29.6990 uA	 2.969900000 uA/um
494	 2.0000 V	 0 V	 2.4650 V	 0 V	 29.7090 uA	 2.970900000 uA/um
495	 2.0000 V	 0 V	 2.4700 V	 0 V	 29.8740 uA	 2.987400000 uA/um
496	 2.0000 V	 0 V	 2.4750 V	 0 V	 30.0260 uA	 3.002600000 uA/um
497	 2.0000 V	 0 V	 2.4800 V	 0 V	 30.0510 uA	 3.005100000 uA/um
498	 2.0000 V	 0 V	 2.4850 V	 0 V	 29.9630 uA	 2.996300000 uA/um
499	 2.0000 V	 0 V	 2.4900 V	 0 V	 29.9900 uA	 2.999000000 uA/um
500	 2.0000 V	 0 V	 2.4950 V	 0 V	 30.2140 uA	 3.021400000 uA/um
501	 2.0000 V	 0 V	 2.5000 V	 0 V	 30.2490 uA	 3.024900000 uA/um
502	 2.0000 V	 0 V	 2.5050 V	 0 V	 30.1910 uA	 3.019100000 uA/um
503	 2.0000 V	 0 V	 2.5100 V	 0 V	 30.3700 uA	 3.037000000 uA/um
504	 2.0000 V	 0 V	 2.5150 V	 0 V	 30.4500 uA	 3.045000000 uA/um
505	 2.0000 V	 0 V	 2.5200 V	 0 V	 30.3940 uA	 3.039400000 uA/um
506	 2.0000 V	 0 V	 2.5250 V	 0 V	 30.5050 uA	 3.050500000 uA/um
507	 2.0000 V	 0 V	 2.5300 V	 0 V	 30.6790 uA	 3.067900000 uA/um
508	 2.0000 V	 0 V	 2.5350 V	 0 V	 30.7150 uA	 3.071500000 uA/um
509	 2.0000 V	 0 V	 2.5400 V	 0 V	 30.6520 uA	 3.065200000 uA/um
510	 2.0000 V	 0 V	 2.5450 V	 0 V	 30.7570 uA	 3.075700000 uA/um
