Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
6856	 3.0000 V	 0 V	 4.2450 V	 0 V	 79.9110 uA	 7.991100000 uA/um
6857	 3.0000 V	 0 V	 4.2500 V	 0 V	 79.9830 uA	 7.998300000 uA/um
6858	 3.0000 V	 0 V	 4.2550 V	 0 V	 80.0570 uA	 8.005700000 uA/um
6859	 3.0000 V	 0 V	 4.2600 V	 0 V	 80.1360 uA	 8.013600000 uA/um
6860	 3.0000 V	 0 V	 4.2650 V	 0 V	 80.2160 uA	 8.021600000 uA/um
6861	 3.0000 V	 0 V	 4.2700 V	 0 V	 80.2930 uA	 8.029300000 uA/um
6862	 3.0000 V	 0 V	 4.2750 V	 0 V	 80.3720 uA	 8.037200000 uA/um
6863	 3.0000 V	 0 V	 4.2800 V	 0 V	 80.4490 uA	 8.044900000 uA/um
6864	 3.0000 V	 0 V	 4.2850 V	 0 V	 80.5250 uA	 8.052500000 uA/um
6865	 3.0000 V	 0 V	 4.2900 V	 0 V	 80.6020 uA	 8.060200000 uA/um
6866	 3.0000 V	 0 V	 4.2950 V	 0 V	 80.6800 uA	 8.068000000 uA/um
6867	 3.0000 V	 0 V	 4.3000 V	 0 V	 80.7630 uA	 8.076300000 uA/um
6868	 3.0000 V	 0 V	 4.3050 V	 0 V	 80.8460 uA	 8.084600000 uA/um
6869	 3.0000 V	 0 V	 4.3100 V	 0 V	 80.9220 uA	 8.092200000 uA/um
6870	 3.0000 V	 0 V	 4.3150 V	 0 V	 80.9990 uA	 8.099900000 uA/um
6871	 3.0000 V	 0 V	 4.3200 V	 0 V	 81.0830 uA	 8.108300000 uA/um
6872	 3.0000 V	 0 V	 4.3250 V	 0 V	 81.1670 uA	 8.116700000 uA/um
6873	 3.0000 V	 0 V	 4.3300 V	 0 V	 81.2440 uA	 8.124400000 uA/um
6874	 3.0000 V	 0 V	 4.3350 V	 0 V	 81.3320 uA	 8.133200000 uA/um
6875	 3.0000 V	 0 V	 4.3400 V	 0 V	 81.4110 uA	 8.141100000 uA/um
6876	 3.0000 V	 0 V	 4.3450 V	 0 V	 81.4970 uA	 8.149700000 uA/um
6877	 3.0000 V	 0 V	 4.3500 V	 0 V	 81.5790 uA	 8.157900000 uA/um
6878	 3.0000 V	 0 V	 4.3550 V	 0 V	 81.6640 uA	 8.166400000 uA/um
6879	 3.0000 V	 0 V	 4.3600 V	 0 V	 81.7440 uA	 8.174400000 uA/um
6880	 3.0000 V	 0 V	 4.3650 V	 0 V	 81.8340 uA	 8.183400000 uA/um
6881	 3.0000 V	 0 V	 4.3700 V	 0 V	 81.9200 uA	 8.192000000 uA/um
6882	 3.0000 V	 0 V	 4.3750 V	 0 V	 82.0000 uA	 8.200000000 uA/um
6883	 3.0000 V	 0 V	 4.3800 V	 0 V	 82.0900 uA	 8.209000000 uA/um
6884	 3.0000 V	 0 V	 4.3850 V	 0 V	 82.1770 uA	 8.217700000 uA/um
6885	 3.0000 V	 0 V	 4.3900 V	 0 V	 82.2680 uA	 8.226800000 uA/um
6886	 3.0000 V	 0 V	 4.3950 V	 0 V	 82.3520 uA	 8.235200000 uA/um
6887	 3.0000 V	 0 V	 4.4000 V	 0 V	 82.4400 uA	 8.244000000 uA/um
6888	 3.0000 V	 0 V	 4.4050 V	 0 V	 82.5320 uA	 8.253200000 uA/um
6889	 3.0000 V	 0 V	 4.4100 V	 0 V	 82.6180 uA	 8.261800000 uA/um
6890	 3.0000 V	 0 V	 4.4150 V	 0 V	 82.7130 uA	 8.271300000 uA/um
6891	 3.0000 V	 0 V	 4.4200 V	 0 V	 82.7940 uA	 8.279400000 uA/um
6892	 3.0000 V	 0 V	 4.4250 V	 0 V	 82.8900 uA	 8.289000000 uA/um
6893	 3.0000 V	 0 V	 4.4300 V	 0 V	 82.9770 uA	 8.297700000 uA/um
