Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
51	 2.0000 V	 0 V	 1.0000 V	 0 V	 135.863 uA	 193.5200000 uS
52	 2.0500 V	 0 V	 1.0000 V	 0 V	 146.757 uA	 198.8700000 uS
53	 2.1000 V	 0 V	 1.0000 V	 0 V	 155.750 uA	 206.0900000 uS
54	 2.1500 V	 0 V	 1.0000 V	 0 V	 167.366 uA	 222.5500000 uS
55	 2.2000 V	 0 V	 1.0000 V	 0 V	 178.005 uA	 217.0000000 uS
56	 2.2500 V	 0 V	 1.0000 V	 0 V	 189.066 uA	 223.2800000 uS
57	 2.3000 V	 0 V	 1.0000 V	 0 V	 200.333 uA	 224.8200000 uS
58	 2.3500 V	 0 V	 1.0000 V	 0 V	 211.548 uA	 227.7400000 uS
59	 2.4000 V	 0 V	 1.0000 V	 0 V	 223.107 uA	 232.7300000 uS
60	 2.4500 V	 0 V	 1.0000 V	 0 V	 234.821 uA	 234.3000000 uS
61	 2.5000 V	 0 V	 1.0000 V	 0 V	 246.537 uA	 226.9900000 uS
62	 2.5500 V	 0 V	 1.0000 V	 0 V	 257.520 uA	 227.7400000 uS
63	 2.6000 V	 0 V	 1.0000 V	 0 V	 269.311 uA	 252.0500000 uS
64	 2.6500 V	 0 V	 1.0000 V	 0 V	 282.725 uA	 253.6500000 uS
65	 2.7000 V	 0 V	 1.0000 V	 0 V	 294.676 uA	 230.7500000 uS
66	 2.7500 V	 0 V	 1.0000 V	 0 V	 305.800 uA	 245.0500000 uS
67	 2.8000 V	 0 V	 1.0000 V	 0 V	 319.181 uA	 262.1000000 uS
68	 2.8500 V	 0 V	 1.0000 V	 0 V	 332.010 uA	 238.0700000 uS
69	 2.9000 V	 0 V	 1.0000 V	 0 V	 342.988 uA	 234.6900000 uS
70	 2.9500 V	 0 V	 1.0000 V	 0 V	 355.479 uA	 260.9100000 uS
71	 3.0000 V	 0 V	 1.0000 V	 0 V	 369.079 uA	 260.5700000 uS
72	 3.0500 V	 0 V	 1.0000 V	 0 V	 381.536 uA	 235.1600000 uS
73	 3.1000 V	 0 V	 1.0000 V	 0 V	 392.595 uA	 245.2000000 uS
74	 3.1500 V	 0 V	 1.0000 V	 0 V	 406.056 uA	 261.8000000 uS
75	 3.2000 V	 0 V	 1.0000 V	 0 V	 418.775 uA	 250.6400000 uS
76	 3.2500 V	 0 V	 1.0000 V	 0 V	 431.120 uA	 247.7500000 uS
77	 3.3000 V	 0 V	 1.0000 V	 0 V	 443.550 uA	 238.6300000 uS
78	 3.3500 V	 0 V	 1.0000 V	 0 V	 454.983 uA	 240.7500000 uS
79	 3.4000 V	 0 V	 1.0000 V	 0 V	 467.625 uA	 250.8700000 uS
80	 3.4500 V	 0 V	 1.0000 V	 0 V	 480.070 uA	 238.9000000 uS
81	 3.5000 V	 0 V	 1.0000 V	 0 V	 491.515 uA	 239.5800000 uS
82	 3.5500 V	 0 V	 1.0000 V	 0 V	 504.028 uA	 242.6800000 uS
83	 3.6000 V	 0 V	 1.0000 V	 0 V	 515.783 uA	 236.5000000 uS
84	 3.6500 V	 0 V	 1.0000 V	 0 V	 527.678 uA	 227.9300000 uS
85	 3.7000 V	 0 V	 1.0000 V	 0 V	 538.576 uA	 232.8700000 uS
86	 3.7500 V	 0 V	 1.0000 V	 0 V	 550.965 uA	 240.7500000 uS
87	 3.8000 V	 0 V	 1.0000 V	 0 V	 562.651 uA	 231.6000000 uS
88	 3.8500 V	 0 V	 1.0000 V	 0 V	 574.125 uA	 222.4700000 uS
89	 3.9000 V	 0 V	 1.0000 V	 0 V	 584.898 uA	 226.0700000 uS
90	 3.9500 V	 0 V	 1.0000 V	 0 V	 596.732 uA	 217.1100000 uS
91	 4.0000 V	 0 V	 1.0000 V	 0 V	 606.609 uA	 221.5300000 uS
92	 4.0500 V	 0 V	 1.0000 V	 0 V	 618.885 uA	 231.9500000 uS
93	 4.1000 V	 0 V	 1.0000 V	 0 V	 629.804 uA	 218.5800000 uS
94	 4.1500 V	 0 V	 1.0000 V	 0 V	 640.743 uA	 217.0100000 uS
95	 4.2000 V	 0 V	 1.0000 V	 0 V	 651.505 uA	 214.4100000 uS
96	 4.2500 V	 0 V	 1.0000 V	 0 V	 662.184 uA	 201.0700000 uS
97	 4.3000 V	 0 V	 1.0000 V	 0 V	 671.612 uA	 210.6400000 uS
98	 4.3500 V	 0 V	 1.0000 V	 0 V	 683.248 uA	 219.5400000 uS
99	 4.4000 V	 0 V	 1.0000 V	 0 V	 693.566 uA	 206.7600000 uS
100	 4.4500 V	 0 V	 1.0000 V	 0 V	 703.924 uA	 196.1000000 uS
101	 4.5000 V	 0 V	 1.0000 V	 0 V	 713.176 uA	 203.4700000 uS
102	 4.5500 V	 0 V	 1.0000 V	 0 V	 724.271 uA	 209.9200000 uS
103	 4.6000 V	 0 V	 1.0000 V	 0 V	 734.168 uA	 202.2700000 uS
104	 4.6500 V	 0 V	 1.0000 V	 0 V	 744.498 uA	 201.5600000 uS
105	 4.7000 V	 0 V	 1.0000 V	 0 V	 754.324 uA	 196.2500000 uS
106	 4.7500 V	 0 V	 1.0000 V	 0 V	 764.123 uA	 195.3300000 uS
107	 4.8000 V	 0 V	 1.0000 V	 0 V	 773.857 uA	 193.6700000 uS
108	 4.8500 V	 0 V	 1.0000 V	 0 V	 783.490 uA	 190.8300000 uS
109	 4.9000 V	 0 V	 1.0000 V	 0 V	 792.940 uA	 189.4900000 uS
110	 4.9500 V	 0 V	 1.0000 V	 0 V	 802.439 uA	 191.7800000 uS
111	 5.0000 V	 0 V	 1.0000 V	 0 V	 812.118 uA	 193.5800000 uS
