Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	gm
32	 1.0500 V	 0 V	 100.00 mV	 0 V	 4.32919 uA	 1.390600000 uS
33	 1.1000 V	 0 V	 100.00 mV	 0 V	 4.42618 uA	 2.966200000 uS
34	 1.1500 V	 0 V	 100.00 mV	 0 V	 4.62581 uA	 5.476600000 uS
35	 1.2000 V	 0 V	 100.00 mV	 0 V	 4.97384 uA	 8.988100000 uS
36	 1.2500 V	 0 V	 100.00 mV	 0 V	 5.52462 uA	 13.57530000 uS
37	 1.3000 V	 0 V	 100.00 mV	 0 V	 6.33137 uA	 19.12410000 uS
38	 1.3500 V	 0 V	 100.00 mV	 0 V	 7.43703 uA	 24.57130000 uS
39	 1.4000 V	 0 V	 100.00 mV	 0 V	 8.7885 uA	 30.30770000 uS
40	 1.4500 V	 0 V	 100.00 mV	 0 V	 10.4678 uA	 34.91200000 uS
41	 1.5000 V	 0 V	 100.00 mV	 0 V	 12.2797 uA	 38.52500000 uS
42	 1.5500 V	 0 V	 100.00 mV	 0 V	 14.3203 uA	 42.37400000 uS
43	 1.6000 V	 0 V	 100.00 mV	 0 V	 16.5171 uA	 44.60300000 uS
44	 1.6500 V	 0 V	 100.00 mV	 0 V	 18.7806 uA	 45.93900000 uS
45	 1.7000 V	 0 V	 100.00 mV	 0 V	 21.1110 uA	 47.38000000 uS
46	 1.7500 V	 0 V	 100.00 mV	 0 V	 23.5186 uA	 47.76200000 uS
47	 1.8000 V	 0 V	 100.00 mV	 0 V	 25.8872 uA	 47.87100000 uS
48	 1.8500 V	 0 V	 100.00 mV	 0 V	 28.3057 uA	 48.17600000 uS
49	 1.9000 V	 0 V	 100.00 mV	 0 V	 30.7048 uA	 47.42000000 uS
50	 1.9500 V	 0 V	 100.00 mV	 0 V	 33.0477 uA	 46.94700000 uS
51	 2.0000 V	 0 V	 100.00 mV	 0 V	 35.3995 uA	 46.46300000 uS
52	 2.0500 V	 0 V	 100.00 mV	 0 V	 37.6940 uA	 46.24300000 uS
53	 2.1000 V	 0 V	 100.00 mV	 0 V	 40.0238 uA	 46.18100000 uS
54	 2.1500 V	 0 V	 100.00 mV	 0 V	 42.3121 uA	 44.92600000 uS
55	 2.2000 V	 0 V	 100.00 mV	 0 V	 44.5164 uA	 43.58700000 uS
56	 2.2500 V	 0 V	 100.00 mV	 0 V	 46.6708 uA	 43.46400000 uS
57	 2.3000 V	 0 V	 100.00 mV	 0 V	 48.8628 uA	 43.06800000 uS
58	 2.3500 V	 0 V	 100.00 mV	 0 V	 50.9776 uA	 41.74800000 uS
59	 2.4000 V	 0 V	 100.00 mV	 0 V	 53.0376 uA	 41.46400000 uS
60	 2.4500 V	 0 V	 100.00 mV	 0 V	 55.1240 uA	 41.30800000 uS
61	 2.5000 V	 0 V	 100.00 mV	 0 V	 57.1684 uA	 39.78700000 uS
62	 2.5500 V	 0 V	 100.00 mV	 0 V	 59.1027 uA	 38.78200000 uS
63	 2.6000 V	 0 V	 100.00 mV	 0 V	 61.0466 uA	 39.22800000 uS
64	 2.6500 V	 0 V	 100.00 mV	 0 V	 63.0255 uA	 38.12100000 uS
65	 2.7000 V	 0 V	 100.00 mV	 0 V	 64.8587 uA	 36.73800000 uS
66	 2.7500 V	 0 V	 100.00 mV	 0 V	 66.6993 uA	 36.99700000 uS
67	 2.8000 V	 0 V	 100.00 mV	 0 V	 68.5584 uA	 36.01800000 uS
68	 2.8500 V	 0 V	 100.00 mV	 0 V	 70.3011 uA	 34.99800000 uS
69	 2.9000 V	 0 V	 100.00 mV	 0 V	 72.0582 uA	 34.77800000 uS
70	 2.9500 V	 0 V	 100.00 mV	 0 V	 73.7789 uA	 34.10100000 uS
71	 3.0000 V	 0 V	 100.00 mV	 0 V	 75.4683 uA	 33.49700000 uS
72	 3.0500 V	 0 V	 100.00 mV	 0 V	 77.1286 uA	 33.04800000 uS
73	 3.1000 V	 0 V	 100.00 mV	 0 V	 78.7731 uA	 32.59000000 uS
74	 3.1500 V	 0 V	 100.00 mV	 0 V	 80.3876 uA	 31.96500000 uS
75	 3.2000 V	 0 V	 100.00 mV	 0 V	 81.9696 uA	 31.26100000 uS
76	 3.2500 V	 0 V	 100.00 mV	 0 V	 83.5137 uA	 30.86300000 uS
77	 3.3000 V	 0 V	 100.00 mV	 0 V	 85.0559 uA	 30.61900000 uS
78	 3.3500 V	 0 V	 100.00 mV	 0 V	 86.5756 uA	 30.00100000 uS
79	 3.4000 V	 0 V	 100.00 mV	 0 V	 88.0560 uA	 29.03100000 uS
80	 3.4500 V	 0 V	 100.00 mV	 0 V	 89.4787 uA	 28.41400000 uS
81	 3.5000 V	 0 V	 100.00 mV	 0 V	 90.8974 uA	 28.09300000 uS
82	 3.5500 V	 0 V	 100.00 mV	 0 V	 92.2880 uA	 27.38500000 uS
83	 3.6000 V	 0 V	 100.00 mV	 0 V	 93.6359 uA	 27.18200000 uS
84	 3.6500 V	 0 V	 100.00 mV	 0 V	 95.0062 uA	 26.85300000 uS
85	 3.7000 V	 0 V	 100.00 mV	 0 V	 96.3212 uA	 26.00800000 uS
86	 3.7500 V	 0 V	 100.00 mV	 0 V	 97.6070 uA	 25.41700000 uS
87	 3.8000 V	 0 V	 100.00 mV	 0 V	 98.8629 uA	 25.27600000 uS
88	 3.8500 V	 0 V	 100.00 mV	 0 V	 100.1346 uA	 25.00600000 uS
89	 3.9000 V	 0 V	 100.00 mV	 0 V	 101.3635 uA	 24.15400000 uS
90	 3.9500 V	 0 V	 100.00 mV	 0 V	 102.5500 uA	 23.76900000 uS
91	 4.0000 V	 0 V	 100.00 mV	 0 V	 103.7404 uA	 23.76400000 uS
92	 4.0500 V	 0 V	 100.00 mV	 0 V	 104.9264 uA	 23.36000000 uS
93	 4.1000 V	 0 V	 100.00 mV	 0 V	 106.0764 uA	 22.89900000 uS
94	 4.1500 V	 0 V	 100.00 mV	 0 V	 107.2163 uA	 22.46700000 uS
95	 4.2000 V	 0 V	 100.00 mV	 0 V	 108.3231 uA	 21.85600000 uS
96	 4.2500 V	 0 V	 100.00 mV	 0 V	 109.4019 uA	 21.65900000 uS
97	 4.3000 V	 0 V	 100.00 mV	 0 V	 110.4890 uA	 21.58700000 uS
98	 4.3500 V	 0 V	 100.00 mV	 0 V	 111.5606 uA	 20.68000000 uS
99	 4.4000 V	 0 V	 100.00 mV	 0 V	 112.557 uA	 20.65400000 uS
100	 4.4500 V	 0 V	 100.00 mV	 0 V	 113.626 uA	 20.62000000 uS
101	 4.5000 V	 0 V	 100.00 mV	 0 V	 114.619 uA	 19.80000000 uS
102	 4.5500 V	 0 V	 100.00 mV	 0 V	 115.606 uA	 19.85000000 uS
103	 4.6000 V	 0 V	 100.00 mV	 0 V	 116.604 uA	 19.74000000 uS
104	 4.6500 V	 0 V	 100.00 mV	 0 V	 117.580 uA	 19.10000000 uS
105	 4.7000 V	 0 V	 100.00 mV	 0 V	 118.514 uA	 18.67000000 uS
106	 4.7500 V	 0 V	 100.00 mV	 0 V	 119.447 uA	 18.89000000 uS
107	 4.8000 V	 0 V	 100.00 mV	 0 V	 120.403 uA	 18.24000000 uS
108	 4.8500 V	 0 V	 100.00 mV	 0 V	 121.271 uA	 17.90000000 uS
109	 4.9000 V	 0 V	 100.00 mV	 0 V	 122.193 uA	 18.17000000 uS
110	 4.9500 V	 0 V	 100.00 mV	 0 V	 123.088 uA	 17.17000000 uS
111	 5.0000 V	 0 V	 100.00 mV	 0 V	 123.910 uA	 16.44000000 uS
