Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
35	 2.0000 V	 0 V	 170.0 mV	 0 V	 5.02030 mA	 502.0300000 uA/um
36	 2.0000 V	 0 V	 175.0 mV	 0 V	 5.19440 mA	 519.4400000 uA/um
37	 2.0000 V	 0 V	 180.0 mV	 0 V	 5.41150 mA	 541.1500000 uA/um
38	 2.0000 V	 0 V	 185.0 mV	 0 V	 5.43190 mA	 543.1900000 uA/um
39	 2.0000 V	 0 V	 190.0 mV	 0 V	 5.50960 mA	 550.9600000 uA/um
40	 2.0000 V	 0 V	 195.0 mV	 0 V	 5.81150 mA	 581.1500000 uA/um
41	 2.0000 V	 0 V	 200.0 mV	 0 V	 5.90240 mA	 590.2400000 uA/um
42	 2.0000 V	 0 V	 205.0 mV	 0 V	 5.86790 mA	 586.7900000 uA/um
43	 2.0000 V	 0 V	 210.0 mV	 0 V	 6.06290 mA	 606.2900000 uA/um
44	 2.0000 V	 0 V	 215.0 mV	 0 V	 6.32240 mA	 632.2400000 uA/um
45	 2.0000 V	 0 V	 220.0 mV	 0 V	 6.38790 mA	 638.7900000 uA/um
46	 2.0000 V	 0 V	 225.0 mV	 0 V	 6.37170 mA	 637.1700000 uA/um
47	 2.0000 V	 0 V	 230.0 mV	 0 V	 6.50690 mA	 650.6900000 uA/um
48	 2.0000 V	 0 V	 235.0 mV	 0 V	 6.81400 mA	 681.4000000 uA/um
49	 2.0000 V	 0 V	 240.0 mV	 0 V	 6.89590 mA	 689.5900000 uA/um
50	 2.0000 V	 0 V	 245.0 mV	 0 V	 6.82740 mA	 682.7400000 uA/um
51	 2.0000 V	 0 V	 250.0 mV	 0 V	 7.10000 mA	 710.0000000 uA/um
52	 2.0000 V	 0 V	 255.0 mV	 0 V	 7.26630 mA	 726.6300000 uA/um
53	 2.0000 V	 0 V	 260.0 mV	 0 V	 7.27380 mA	 727.3800000 uA/um
54	 2.0000 V	 0 V	 265.0 mV	 0 V	 7.27870 mA	 727.8700000 uA/um
55	 2.0000 V	 0 V	 270.0 mV	 0 V	 7.55460 mA	 755.4600000 uA/um
56	 2.0000 V	 0 V	 275.0 mV	 0 V	 7.74800 mA	 774.8000000 uA/um
57	 2.0000 V	 0 V	 280.0 mV	 0 V	 7.67530 mA	 767.5300000 uA/um
58	 2.0000 V	 0 V	 285.0 mV	 0 V	 7.78360 mA	 778.3600000 uA/um
59	 2.0000 V	 0 V	 290.0 mV	 0 V	 8.09970 mA	 809.9700000 uA/um
60	 2.0000 V	 0 V	 295.0 mV	 0 V	 8.13890 mA	 813.8900000 uA/um
61	 2.0000 V	 0 V	 300.0 mV	 0 V	 8.07480 mA	 807.4800000 uA/um
62	 2.0000 V	 0 V	 305.0 mV	 0 V	 8.22700 mA	 822.7000000 uA/um
63	 2.0000 V	 0 V	 310.0 mV	 0 V	 8.54310 mA	 854.3100000 uA/um
64	 2.0000 V	 0 V	 315.0 mV	 0 V	 8.52620 mA	 852.6200000 uA/um
65	 2.0000 V	 0 V	 320.0 mV	 0 V	 8.47760 mA	 847.7600000 uA/um
66	 2.0000 V	 0 V	 325.0 mV	 0 V	 8.81220 mA	 881.2200000 uA/um
67	 2.0000 V	 0 V	 330.0 mV	 0 V	 8.92210 mA	 892.2100000 uA/um
68	 2.0000 V	 0 V	 335.0 mV	 0 V	 8.88330 mA	 888.3300000 uA/um
69	 2.0000 V	 0 V	 340.0 mV	 0 V	 8.93130 mA	 893.1300000 uA/um
70	 2.0000 V	 0 V	 345.0 mV	 0 V	 9.28950 mA	 928.9500000 uA/um
71	 2.0000 V	 0 V	 350.0 mV	 0 V	 9.32600 mA	 932.6000000 uA/um
72	 2.0000 V	 0 V	 355.0 mV	 0 V	 9.25140 mA	 925.1400000 uA/um
73	 2.0000 V	 0 V	 360.0 mV	 0 V	 9.33730 mA	 933.7300000 uA/um
74	 2.0000 V	 0 V	 365.0 mV	 0 V	 9.69940 mA	 969.9400000 uA/um
75	 2.0000 V	 0 V	 370.0 mV	 0 V	 9.73080 mA	 973.0800000 uA/um
76	 2.0000 V	 0 V	 375.0 mV	 0 V	 9.65100 mA	 965.1000000 uA/um
77	 2.0000 V	 0 V	 380.0 mV	 0 V	 9.74730 mA	 974.7300000 uA/um
78	 2.0000 V	 0 V	 385.0 mV	 0 V	 10.07990 mA	 1.007990000 mA/um
79	 2.0000 V	 0 V	 390.0 mV	 0 V	 10.02520 mA	 1.002520000 mA/um
