Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
133	 2.0000 V	 0 V	 660.0 mV	 0 V	 109.570 uA	 10.95700000 uA/um
134	 2.0000 V	 0 V	 665.0 mV	 0 V	 108.520 uA	 10.85200000 uA/um
135	 2.0000 V	 0 V	 670.0 mV	 0 V	 130.750 uA	 13.07500000 uA/um
136	 2.0000 V	 0 V	 675.0 mV	 0 V	 122.490 uA	 12.24900000 uA/um
137	 2.0000 V	 0 V	 680.0 mV	 0 V	 106.730 uA	 10.67300000 uA/um
138	 2.0000 V	 0 V	 685.0 mV	 0 V	 128.010 uA	 12.80100000 uA/um
139	 2.0000 V	 0 V	 690.0 mV	 0 V	 132.500 uA	 13.25000000 uA/um
140	 2.0000 V	 0 V	 695.0 mV	 0 V	 110.170 uA	 11.01700000 uA/um
141	 2.0000 V	 0 V	 700.0 mV	 0 V	 111.070 uA	 11.10700000 uA/um
142	 2.0000 V	 0 V	 705.0 mV	 0 V	 131.530 uA	 13.15300000 uA/um
143	 2.0000 V	 0 V	 710.0 mV	 0 V	 132.360 uA	 13.23600000 uA/um
144	 2.0000 V	 0 V	 715.0 mV	 0 V	 110.460 uA	 11.04600000 uA/um
145	 2.0000 V	 0 V	 720.0 mV	 0 V	 121.570 uA	 12.15700000 uA/um
146	 2.0000 V	 0 V	 725.0 mV	 0 V	 134.920 uA	 13.49200000 uA/um
147	 2.0000 V	 0 V	 730.0 mV	 0 V	 113.760 uA	 11.37600000 uA/um
148	 2.0000 V	 0 V	 735.0 mV	 0 V	 114.790 uA	 11.47900000 uA/um
149	 2.0000 V	 0 V	 740.0 mV	 0 V	 135.690 uA	 13.56900000 uA/um
150	 2.0000 V	 0 V	 745.0 mV	 0 V	 128.680 uA	 12.86800000 uA/um
151	 2.0000 V	 0 V	 750.0 mV	 0 V	 113.580 uA	 11.35800000 uA/um
152	 2.0000 V	 0 V	 755.0 mV	 0 V	 115.670 uA	 11.56700000 uA/um
153	 2.0000 V	 0 V	 760.0 mV	 0 V	 135.680 uA	 13.56800000 uA/um
154	 2.0000 V	 0 V	 765.0 mV	 0 V	 126.200 uA	 12.62000000 uA/um
155	 2.0000 V	 0 V	 770.0 mV	 0 V	 112.850 uA	 11.28500000 uA/um
156	 2.0000 V	 0 V	 775.0 mV	 0 V	 134.790 uA	 13.47900000 uA/um
157	 2.0000 V	 0 V	 780.0 mV	 0 V	 135.080 uA	 13.50800000 uA/um
158	 2.0000 V	 0 V	 785.0 mV	 0 V	 115.640 uA	 11.56400000 uA/um
159	 2.0000 V	 0 V	 790.0 mV	 0 V	 122.880 uA	 12.28800000 uA/um
160	 2.0000 V	 0 V	 795.0 mV	 0 V	 136.930 uA	 13.69300000 uA/um
161	 2.0000 V	 0 V	 800.0 mV	 0 V	 116.900 uA	 11.69000000 uA/um
162	 2.0000 V	 0 V	 805.0 mV	 0 V	 119.110 uA	 11.91100000 uA/um
163	 2.0000 V	 0 V	 810.0 mV	 0 V	 141.730 uA	 14.17300000 uA/um
164	 2.0000 V	 0 V	 815.0 mV	 0 V	 128.970 uA	 12.89700000 uA/um
165	 2.0000 V	 0 V	 820.0 mV	 0 V	 115.740 uA	 11.57400000 uA/um
166	 2.0000 V	 0 V	 825.0 mV	 0 V	 138.680 uA	 13.86800000 uA/um
167	 2.0000 V	 0 V	 830.0 mV	 0 V	 139.070 uA	 13.90700000 uA/um
168	 2.0000 V	 0 V	 835.0 mV	 0 V	 120.000 uA	 12.00000000 uA/um
169	 2.0000 V	 0 V	 840.0 mV	 0 V	 117.780 uA	 11.77800000 uA/um
170	 2.0000 V	 0 V	 845.0 mV	 0 V	 142.940 uA	 14.29400000 uA/um
171	 2.0000 V	 0 V	 850.0 mV	 0 V	 136.370 uA	 13.63700000 uA/um
172	 2.0000 V	 0 V	 855.0 mV	 0 V	 120.050 uA	 12.00500000 uA/um
173	 2.0000 V	 0 V	 860.0 mV	 0 V	 122.620 uA	 12.26200000 uA/um
174	 2.0000 V	 0 V	 865.0 mV	 0 V	 144.950 uA	 14.49500000 uA/um
175	 2.0000 V	 0 V	 870.0 mV	 0 V	 134.240 uA	 13.42400000 uA/um
176	 2.0000 V	 0 V	 875.0 mV	 0 V	 120.100 uA	 12.01000000 uA/um
177	 2.0000 V	 0 V	 880.0 mV	 0 V	 130.680 uA	 13.06800000 uA/um
178	 2.0000 V	 0 V	 885.0 mV	 0 V	 145.900 uA	 14.59000000 uA/um
179	 2.0000 V	 0 V	 890.0 mV	 0 V	 124.540 uA	 12.45400000 uA/um
180	 2.0000 V	 0 V	 895.0 mV	 0 V	 123.350 uA	 12.33500000 uA/um
181	 2.0000 V	 0 V	 900.0 mV	 0 V	 146.360 uA	 14.63600000 uA/um
182	 2.0000 V	 0 V	 905.0 mV	 0 V	 141.900 uA	 14.19000000 uA/um
183	 2.0000 V	 0 V	 910.0 mV	 0 V	 123.810 uA	 12.38100000 uA/um
184	 2.0000 V	 0 V	 915.0 mV	 0 V	 123.770 uA	 12.37700000 uA/um
185	 2.0000 V	 0 V	 920.0 mV	 0 V	 146.600 uA	 14.66000000 uA/um
186	 2.0000 V	 0 V	 925.0 mV	 0 V	 146.770 uA	 14.67700000 uA/um
187	 2.0000 V	 0 V	 930.0 mV	 0 V	 130.640 uA	 13.06400000 uA/um
188	 2.0000 V	 0 V	 935.0 mV	 0 V	 124.710 uA	 12.47100000 uA/um
189	 2.0000 V	 0 V	 940.0 mV	 0 V	 145.860 uA	 14.58600000 uA/um
190	 2.0000 V	 0 V	 945.0 mV	 0 V	 148.150 uA	 14.81500000 uA/um
